index, u0, u1, Family, u3, u4, u5, u6, u7, MAX LVL, XP Type, sk0, sk1, sk2, idk, HP, MP, ATK, DEF, SPD, INT,Blaze, Fireball, Bang, Infernos, Lightning, Icebolt, Surround, Sleep, Beat, RobMagic, Stopspell, Panic, Sap, Slow, Sacrifice, MegaMagic, FireAir, FrigidAir, PoisonAir, Paralyze, Curse, LureDance, DanceShut, MouthShut, RockThrow, GigaSlash, Geyser
1,0,0,Slime,2,0,0,4,0,45,13,59,64,137,0,16,10,13,8,20,16,1,1,1,0,0,0,2,2,2,2,2,2,2,2,3,2,2,1,0,1,0,0,0,0,0,0,0
2,79,0,Slime,2,0,0,3,0,35,10,78,139,158,0,17,1,17,4,17,8,0,0,0,0,0,0,2,2,2,2,2,2,3,3,2,2,0,0,0,0,0,1,1,1,1,1,0
3,65,0,Slime,2,1,0,4,1,35,10,72,98,153,0,13,2,11,11,24,8,0,0,0,1,1,0,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,1,1,1,1,1,0
4,68,0,Slime,2,0,0,4,0,50,11,39,96,113,0,13,11,8,14,17,17,0,0,0,1,1,0,2,2,2,3,3,2,2,2,2,2,0,0,0,0,0,1,1,1,0,0,2
5,75,0,Slime,2,0,0,3,0,35,8,16,35,78,0,11,10,17,20,20,8,0,0,0,0,0,0,2,3,2,2,3,2,2,2,2,2,0,0,1,1,1,0,0,0,1,1,2
6,78,0,Slime,2,0,0,4,0,40,15,22,37,86,0,14,1,15,14,20,14,1,1,1,1,1,1,2,2,3,2,2,2,2,2,3,2,1,0,0,1,0,0,0,0,0,0,0
7,78,0,Slime,2,0,0,4,0,45,12,46,95,128,0,17,7,17,8,14,13,0,0,0,0,0,0,3,3,3,2,2,3,2,2,2,2,0,0,3,1,1,0,0,0,0,0,1
8,74,0,Slime,2,0,0,3,0,50,11,1,37,111,0,11,10,14,19,14,13,0,0,1,0,0,1,2,2,3,2,2,2,2,2,3,2,0,1,0,0,0,0,0,0,0,0,0
9,72,0,Slime,2,0,0,4,0,40,10,37,104,127,1,10,16,8,22,14,9,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,0,1,0,0,0,0,0,0,0,0,2
10,70,0,Slime,2,0,0,1,0,40,16,4,61,127,0,22,11,14,17,11,13,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0
11,70,0,Slime,2,0,0,3,0,50,11,22,25,37,0,11,15,11,11,20,18,0,0,0,1,1,0,2,2,2,3,3,2,2,2,2,2,0,0,0,0,0,1,2,2,0,0,0
12,78,0,Slime,2,0,0,5,0,35,10,78,104,144,0,25,1,18,13,20,13,0,0,0,0,0,0,2,2,3,2,2,2,3,3,3,2,0,0,0,1,0,1,1,1,1,1,0
13,84,0,Slime,2,0,0,5,0,45,11,106,111,148,3,13,10,14,23,16,14,0,0,1,0,0,2,2,2,3,2,2,2,2,2,3,2,0,2,0,0,1,0,0,0,0,0,0
14,81,0,Slime,2,0,0,5,0,50,11,74,101,150,0,18,11,20,15,14,13,1,1,0,1,2,1,2,2,3,2,2,3,2,2,3,2,1,1,0,1,0,0,0,0,0,0,0
15,87,0,Slime,3,0,0,4,0,35,10,125,141,162,0,15,7,14,8,21,15,0,0,0,0,0,0,2,2,2,2,2,2,3,3,2,2,0,0,0,0,0,2,1,1,2,1,1
16,76,0,Slime,2,0,0,6,0,45,12,27,56,30,0,18,14,15,14,20,15,1,1,1,1,1,1,3,2,3,2,2,3,3,3,3,2,1,1,1,1,1,1,1,1,1,1,1
17,103,0,Slime,1,0,1,6,0,20,25,1,16,19,0,0,30,11,30,31,13,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,0,0,0,3,0,3
18,200,0,Slime,1,0,1,6,0,35,27,4,7,21,0,0,30,14,31,31,15,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,0,0,0,3,0,3
19,188,2,Slime,3,0,0,6,0,45,9,92,97,147,0,18,11,18,11,20,15,1,1,1,0,0,1,3,2,3,2,2,3,3,3,3,2,1,1,0,1,0,2,2,2,2,2,1
20,103,0,Slime,2,0,0,5,0,40,14,27,113,139,0,15,20,19,9,14,15,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,1,2,0,0,0,0,0,0,0,0,1
21,78,0,Slime,2,0,0,4,0,40,17,52,143,161,0,10,12,8,19,20,17,1,1,1,1,0,1,1,2,2,2,2,2,2,2,2,2,1,1,1,1,1,0,0,0,0,0,1
22,85,0,Slime,2,1,0,5,1,35,16,47,156,160,2,9,20,11,13,12,22,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,0,0,0,0,2,2,2,2,1,0,0
23,82,0,Slime,1,0,1,6,0,55,29,13,53,63,0,0,31,15,31,31,18,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,0,0,0,3,1,3
24,132,3,Slime,1,0,0,6,0,70,31,60,62,129,3,0,31,19,31,31,18,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,1,1,1,3,2,3
25,156,0,Slime,2,0,0,6,0,80,30,32,138,166,2,25,29,27,31,6,31,3,3,3,3,3,3,1,1,3,3,3,3,3,3,3,2,3,3,3,2,3,2,2,2,2,3,2
